analysis_label,cohort,model,parent_n,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk,study,partition,seed,status
post hoc exploratory benchmark,RADCURE,C2,,1.0,626.0,110.0,491.2222459459066,0.09068332397180157,0.7978620800514387,0.8067438157061149,0.8181824626358135,-0.04444430921668183,1.1394660686388183,0.18248748575630871,RADCURE,sealed_test,five_seed_mean,OK
post hoc exploratory benchmark,RADCURE,C3,,1.0,626.0,110.0,491.2222459459066,0.09846877880188933,0.7616317490935719,0.7712604196500292,0.7807415849403367,-0.09960345171660781,1.2683485553048435,0.19300688976981076,RADCURE,sealed_test,five_seed_mean,OK
post hoc exploratory benchmark,RADCURE,C4,,1.0,626.0,110.0,491.2222459459066,0.09740279843752875,0.7688117308757078,0.7792430372530985,0.7878818658646354,-0.0745197244925438,1.4715444353327172,0.18894018436925425,RADCURE,sealed_test,five_seed_mean,OK
post hoc exploratory benchmark,HANCOCK,C1,,1.0,152.0,40.0,144.96594611661715,0.12429365830719426,0.8024811481391388,0.8445078160980808,0.8834993078482611,0.255901573718893,3.7600784120550768,0.16052015431886568,HANCOCK,sealed_test,five_seed_mean,OK
post hoc exploratory benchmark,HANCOCK,C2,,1.0,152.0,40.0,144.96594611661715,0.10366890508895506,0.7871564096326927,0.8404960557383253,0.8742370623792356,0.13364462032007823,1.520260201751735,0.18304102496139266,HANCOCK,sealed_test,five_seed_mean,OK
post hoc exploratory benchmark,HANCOCK,C3,,1.0,152.0,40.0,144.96594611661715,0.10962033907527205,0.7864266601800048,0.8339697159228227,0.8533644841441362,0.04337252264572736,1.3391393548740516,0.18932641693212054,HANCOCK,sealed_test,five_seed_mean,OK
post hoc exploratory benchmark,HANCOCK,C4,,1.0,152.0,40.0,144.96594611661715,0.11200431805906208,0.7718316711262466,0.8207410117051013,0.8411821425391204,0.04243530417690597,1.397403100212003,0.18881635678939163,HANCOCK,sealed_test,five_seed_mean,OK
post hoc exploratory benchmark,GSE65858,C1,,1.0,244.0,78.0,297.48965062678667,0.2476904379755516,0.6175441519493502,0.6263089536613208,0.6358942482990082,-1.2763344411163178,1.5403705541488002,0.42631104929997415,TCGA-HNSC,external_test,five_seed_mean,OK
post hoc exploratory benchmark,GSE65858,C2,,1.0,244.0,78.0,297.48965062678667,0.3428654246893783,0.6422025991336221,0.6379017599673151,0.6541590251440313,-1.93549722744209,0.7739146427178559,0.548516323554167,TCGA-HNSC,external_test,five_seed_mean,OK
post hoc exploratory benchmark,GSE65858,C3,,1.0,244.0,78.0,297.48965062678667,0.2049855711912291,0.631789403532156,0.643069769850523,0.6472430322760175,-0.9395147352467267,1.448336431029188,0.3445497985628981,TCGA-HNSC,external_test,five_seed_mean,OK
post hoc exploratory benchmark,GSE65858,C4,,1.0,244.0,78.0,297.48965062678667,0.28110044960442393,0.6027990669776742,0.6114032065993247,0.6094234538378851,-1.5581694895717089,0.5952819958577121,0.4537549035201591,TCGA-HNSC,external_test,five_seed_mean,OK
post hoc exploratory benchmark,GSE41613,C1,,1.0,97.0,51.0,132.57483315090704,0.2531881009430339,0.6702005730659025,0.6950051262280772,0.724957357011184,-0.34153569659012284,3.765752842370618,0.33261857114095933,TCGA-HNSC,sensitivity,five_seed_mean,OK
post hoc exploratory benchmark,GSE41613,C2,,1.0,97.0,51.0,132.57483315090704,0.2483460027133491,0.6361031518624641,0.6619944038875275,0.6828353702476666,-0.46897477990257563,1.5416772875861677,0.35977219113435094,TCGA-HNSC,sensitivity,five_seed_mean,OK
post hoc exploratory benchmark,GSE41613,C3,,1.0,97.0,51.0,132.57483315090704,0.2575982917017554,0.6229226361031519,0.6261290032185809,0.6409138684664857,-0.3591048089412072,1.959693547776787,0.3360311664722473,TCGA-HNSC,sensitivity,five_seed_mean,OK
post hoc exploratory benchmark,GSE41613,C4,,1.0,97.0,51.0,132.57483315090704,0.27967012910184225,0.6240687679083095,0.6277036451024087,0.6431347535706036,-0.7370359355457978,0.7863422259514666,0.41060872492891565,TCGA-HNSC,sensitivity,five_seed_mean,OK
